"Key","ko","en","Context"
"credits.art","그래픽","Art","Ending credits (personal names retained)"
"credits.artists","김찬우","김찬우","Ending credits (personal names retained)"
"credits.planners","이주영, 이상현","이주영, 이상현","Ending credits (personal names retained)"
"credits.planning","기획","Planning","Ending credits (personal names retained)"
"credits.programmers","이상협, 이준모","이상협, 이준모","Ending credits (personal names retained)"
"credits.programming","프로그래밍","Programming","Ending credits (personal names retained)"
"event.angel_stall.body","승강장 구석에서 고소한 기름 냄새가 진동한다. 머리에 기계 후광을 단 노점상이 '방금 잡은 신선한 천사 날개 튀김'을 팔고 있다.

""자, 잡숴봐! 성수로 반죽해서 아주 바삭해! 먹으면 천국 간다니까?""

튀김기 옆에는 정체불명의 깃털들이 수북이 쌓여 있고, 노점상의 눈빛은 광기로 번들거린다. 배가 고프긴 한데... 이거 정말 먹어도 되는 걸까요?","The smell of hot oil wafts from a corner of the platform. A street vendor wearing a mechanical halo sells ""freshly caught, deep-fried angel wings.""

""Come on, try some! Holy-water batter makes them extra crispy! One bite and you're in heaven!""

Unidentifiable feathers pile up beside the fryer, and madness gleams in the vendor's eyes. You are hungry... but is this really safe to eat?","천사표 노점 / EventText"
"event.angel_stall.choice_1.hint","{speed_gain.chance}%로 기차의 속도 {speed_gain.amount}회복, {speed_loss.chance}%로 기차의 속도 {speed_loss.amount}감소","{speed_gain.chance}% chance to restore {speed_gain.amount} speed; {speed_loss.chance}% chance to lose {speed_loss.amount} speed.","천사표 노점 / selectionUnderText"
"event.angel_stall.choice_1.text","맛있어 보인다. 일단 사서 기차에게 먹인다","Looks tasty. Buy some and feed the train.","천사표 노점 / selectionText"
"event.angel_stall.choice_2.hint","보유 아이템 [{upgrade.count}]개 [{upgrade.levels}]업그레이드, 특수 몬스터 출현","Upgrade [{upgrade.count}] owned item by [{upgrade.levels}] levels. A special monster appears.","천사표 노점 / selectionUnderText"
"event.angel_stall.choice_2.text","튀김기 안에서 빛나는 부품을 훔친다","Steal the shiny part inside the fryer.","천사표 노점 / selectionText"
"event.angel_stall.title","천사표 노점","Angel Wings To Go","천사표 노점 / EventTitle"
"event.bureaucrat.body","역을 통과하려던 중 정복을 입은 해골 모양의 오토마톤이 차단기를 내리고 앞을 막아선다.

""삐빅. 정기 승차권 확인 불가. 부정 승차입니다. 벌금을 납부하거나, '사회봉사'로 대체하십시오. 현재 우리 역은 해충 박멸 기간입니다.""

녀석의 등 뒤로 수많은 무임승차자들의 시체가 산을 이루고 있다. 어쩐담. 티켓 같은 게 있을 리 없잖아?","As you try to pass through the station, a skeletal automaton in uniform lowers the barrier and blocks your way.

""Beep. Valid season ticket not detected. Fare evasion confirmed. Pay the fine or perform community service. This station is currently conducting pest control.""

A mountain of fare dodgers' corpses lies behind it. Now what? It is not as if you have a ticket.","빌어먹을 공무원 / EventText"
"event.bureaucrat.choice_1.hint","적 HP {enemy_hp.amount}% 증가, 랜덤 아이템 [{upgrade.count}]개 [{upgrade.levels}]업그레이드","Enemy HP +{enemy_hp.amount}%. Upgrade [{upgrade.count}] random item by [{upgrade.levels}] levels.","빌어먹을 공무원 / selectionUnderText"
"event.bureaucrat.choice_1.text","사회봉사? 해충 박멸이라면 자신있지","Community service? Pest control is my specialty.","빌어먹을 공무원 / selectionText"
"event.bureaucrat.choice_2.hint","{speed_gain.chance}%로 속도 {speed_gain.amount}회복, {speed_loss.chance}%로 속도 {speed_loss.amount}감소","{speed_gain.chance}% chance to restore {speed_gain.amount} speed; {speed_loss.chance}% chance to lose {speed_loss.amount} speed.","빌어먹을 공무원 / selectionUnderText"
"event.bureaucrat.choice_2.text","내가 바로 명예 역장이다! 문 열어!","I am the honorary stationmaster! Open up!","빌어먹을 공무원 / selectionText"
"event.bureaucrat.title","빌어먹을 공무원","Damn Bureaucrats","빌어먹을 공무원 / EventTitle"
"event.cheap_deals.body","""거기 당신! 한번 둘러보세요 어디가도 이 가격보다 싸지 않답니다?""","""Hey, you! Take a look! You won't find a better price anywhere!""","쌉나다 싸요 / EventText"
"event.cheap_deals.choice_1.hint","{reward.item} 획득","Gain {reward.item}.","쌉나다 싸요 / selectionUnderText"
"event.cheap_deals.choice_1.text","수상하게 꿈틀대는 부속을 산다","Buy the suspiciously writhing part.","쌉나다 싸요 / selectionText"
"event.cheap_deals.choice_2.hint","{reward.chance}%로 랜덤 아이템 [{reward.count}]개 획득","{reward.chance}% chance to gain [{reward.count}] random items.","쌉나다 싸요 / selectionUnderText"
"event.cheap_deals.choice_2.text","""내가 어떻게 여기까지 왔는데"" REWARD를 요구한다","""After all I went through!"" Demand a REWARD.","쌉나다 싸요 / selectionText"
"event.cheap_deals.choice_3.hint","아무일도 없었다","Nothing happens.","쌉나다 싸요 / selectionUnderText"
"event.cheap_deals.choice_3.text","""뭔 이상한 사람이 다있네"" 그냥 지나친다","""What a weirdo."" Walk past.","쌉나다 싸요 / selectionText"
"event.cheap_deals.title","쌉나다 싸요","Cheap! Dirt Cheap!","쌉나다 싸요 / EventTitle"
"event.legacy_bites_the_dust.body","절벽에 부딪혀 죽는 제비가 있다고 하더군… 그 제비는 다른 제비보다 더없이 능숙하게 먹이를 포획하곤 하지만…. 공중제비를 트는 각도와 그 위험 한계를 부모 제비에게서 배운 적이 없기에 그만 무모한 각도로 날고 말았지. 하지만 그 부모는 가르쳐주지 않은 것이 아니라 그 부모의 부모에게서 배우지 않았기 때문에 가르쳐줄 수가 없었던 거다. 그 일족 중에는 단명하는 자가 많지만 왜 툭하면 사고를 당하는 것인지 깨닫지조차 못해.

죠타로는 단명했지.","They say some swallows die crashing into cliffs. Those swallows catch prey more skillfully than any others. But they never learned the safe angles and limits of a turn from their parents, so they flew at a reckless angle. Their parents had not refused to teach them. They could not teach what their own parents had never taught them. Many in that lineage die young, without ever realizing why they meet with so many accidents.

Jotaro died young.","킬러 퀸 '제3의 폭탄' BITES THE DUST / EventText"
"event.legacy_bites_the_dust.choice_1.hint","장수풍뎅이","Rhinoceros beetle","킬러 퀸 '제3의 폭탄' BITES THE DUST / selectionUnderText"
"event.legacy_bites_the_dust.choice_1.text","나선계단","Spiral staircase","킬러 퀸 '제3의 폭탄' BITES THE DUST / selectionText"
"event.legacy_bites_the_dust.choice_2.hint","장수풍뎅이","Rhinoceros beetle","킬러 퀸 '제3의 폭탄' BITES THE DUST / selectionUnderText"
"event.legacy_bites_the_dust.choice_2.text","무화과 타르트","Fig tart","킬러 퀸 '제3의 폭탄' BITES THE DUST / selectionText"
"event.legacy_bites_the_dust.choice_3.hint","특이점","Singularity","킬러 퀸 '제3의 폭탄' BITES THE DUST / selectionUnderText"
"event.legacy_bites_the_dust.choice_3.text","장수풍뎅이","Rhinoceros beetle","킬러 퀸 '제3의 폭탄' BITES THE DUST / selectionText"
"event.legacy_bites_the_dust.title","킬러 퀸 '제3의 폭탄' BITES THE DUST","Killer Queen: Third Bomb, BITES THE DUST","킬러 퀸 '제3의 폭탄' BITES THE DUST / EventTitle"
"event.legacy_book.body","기차안에서 신기한 물건을 찾았다. 
대체 어떻게 기차에 들어왔는지 모르겠지만 깊게 생각할 시간은 없는듯 하다","You find a strange object aboard the train.
You have no idea how it got here, but there seems to be no time to think about it.","이벤트2 / EventText"
"event.legacy_book.choice_1.hint","살점태그의 아이템 획득","Gain a Flesh-tagged item.","이벤트2 / selectionUnderText"
"event.legacy_book.choice_1.text","책을 열어본다.","Open the book.","이벤트2 / selectionText"
"event.legacy_book.choice_2.hint","신앙태그의 아이템 획득","Gain a Faith-tagged item.","이벤트2 / selectionUnderText"
"event.legacy_book.choice_2.text","책을 버린다.","Throw the book away.","이벤트2 / selectionText"
"event.legacy_book.title","이벤트2","Event 2","이벤트2 / EventTitle"
"event.legacy_first.body","하늘이 어두워지고 곳곳에서 몬스터가 튀어나오기 시작했다.
이 정체모를 기차는 어떻게 움직이고 있는지 모르겠다.
머리속이 울린다. 누구와 손잡을 것인가..","The sky darkens, and monsters begin appearing everywhere.
You do not know what keeps this mysterious train moving.
Your head rings. Whose hand will you take?","이벤트1 / EventText"
"event.legacy_first.choice_1.hint","이교도 태그의 아이템 획득","Gain a Heretic-tagged item.","이벤트1 / selectionUnderText"
"event.legacy_first.choice_1.text","악마를 믿기","Trust the devil.","이벤트1 / selectionText"
